Hydrogen,Oxigen,Nitrogen,Methane,CO,CO2,Ethylene,Ethane,Acethylene,DBDS,Power factor,Interfacial V,Dielectric rigidity,Water content,Health index,Life expectation,CO_H2_ratio,CH4_H2_ratio,C2H4_H2_ratio,C2H2_H2_ratio,H2_N2_ratio,O2_N2_ratio,H2_CO2_ratio,TransformerID,InstallationDate,MaintenanceSchedule,ReplacementHistory,MaintenanceID,MaintenanceType,MaintenanceDate,TransformerLoad,Temperature,Vibration,Humidity,Precipitation,Alerts,IncidentType,IncidentDetails,OperationID,OperatingTime,LoadCondition,PerformanceMetrics
122,294,73100,50,372,2180,69,31,0,168.0,1.27,42,35,19,59.3,6.0,3.0491803278688523,0.4098360655737705,0.5655737704918032,0.0,0.0016689466484268126,0.0040218878248974,0.05596330275229358,TX-3341,2005-01-02,2023-07-05,No major replacements,MNT-87504,Preventive Maintenance,2023-12-07,468.38612565015234,38.635793495296404,8.935833602133169,66.03667673518983,46.41799621931398,None,None,No incidents,OP-7532,34.58634821881362,Normal Load,Performance stable with a load of 468.38612565015234 KW and temperature 38.635793495296404°C
106,581,75200,47,760,4070,11,30,0,183.0,0.16,43,29,5,58.3,6.1,7.169811320754717,0.44339622641509435,0.10377358490566038,0.0,0.0014095744680851063,0.007726063829787234,0.026044226044226043,TX-4238,2001-09-24,2023-07-06,No major replacements,MNT-44866,Preventive Maintenance,2023-08-24,1419.6628523575368,83.1241755265425,0.17514396222579776,85.80190357741668,23.04271749296765,None,None,No incidents,OP-5492,34.41280523261736,Normal Load,Performance stable with a load of 1419.6628523575368 KW and temperature 83.1241755265425°C
95,1760,80800,72,488,3050,10,36,0,176.0,0.29,44,55,12,58.0,6.1,5.136842105263158,0.7578947368421053,0.10526315789473684,0.0,0.0011757425742574257,0.02178217821782178,0.03114754098360656,TX-7528,2003-03-21,2021-08-25,No major replacements,MNT-39293,Preventive Maintenance,2023-03-21,329.0056365122151,47.902652652836,1.632554915845933,57.364278500724105,27.65100664653249,None,None,No incidents,OP-9920,34.36016153047422,Normal Load,Performance stable with a load of 329.0056365122151 KW and temperature 47.902652652836°C
87,362,76100,47,560,3920,5,31,0,184.0,0.23,43,52,4,57.4,17.5,6.436781609195402,0.5402298850574713,0.05747126436781609,0.0,0.0011432325886990803,0.004756898817345598,0.022193877551020407,TX-6347,2012-07-29,2020-01-15,No major replacements,MNT-34546,Preventive Maintenance,2023-10-20,805.4868495807463,42.57268603919491,7.553899707512456,88.24985163851007,31.986504801495297,None,Storm,Severe weather affecting transformer,OP-9058,34.25405227311811,Normal Load,Performance stable with a load of 805.4868495807463 KW and temperature 42.57268603919491°C
79,699,75700,72,508,3810,83,42,0,136.0,1.24,34,48,5,56.0,7.4,6.430379746835443,0.9113924050632911,1.0506329113924051,0.0,0.0010435931307793923,0.009233817701453104,0.02073490813648294,TX-4715,2009-11-03,2022-08-06,No major replacements,MNT-56626,Preventive Maintenance,2022-12-27,160.20309558438686,25.27002982459961,8.26276734889636,59.91740763388657,18.575830374766394,None,None,No incidents,OP-4250,34.00208683852249,Normal Load,Performance stable with a load of 160.20309558438686 KW and temperature 25.27002982459961°C
2183,192,43380,1061,183,5730,1308,646,2,0.0,1.0,42,28,31,55.8,20.3,0.08382959230416857,0.4860284012826386,0.5991754466330738,0.0009161704076958314,0.050322729368372524,0.004426002766251729,0.38097731239092497,TX-4485,2001-08-29,2020-07-20,No major replacements,MNT-86672,Corrective Maintenance,2022-12-28,1624.8033218915846,88.86329786173143,3.037857794873604,60.02565051532558,41.7129512288028,None,None,No incidents,OP-2034,33.96557845742163,High Load,Performance stable with a load of 1624.8033218915846 KW and temperature 88.86329786173143°C
76,324,71700,45,904,5220,10,27,0,227.0,0.45,45,45,8,55.1,6.5,11.894736842105264,0.5921052631578947,0.13157894736842105,0.0,0.0010599721059972105,0.004518828451882845,0.014559386973180077,TX-6118,2003-01-28,2021-12-19,No major replacements,MNT-96346,Preventive Maintenance,2022-01-30,243.84665953733548,27.436354990104988,6.78115242006195,57.41843069776301,44.22414531441772,None,None,No incidents,OP-4506,33.83676056733595,Normal Load,Performance stable with a load of 243.84665953733548 KW and temperature 27.436354990104988°C
14,17600,44300,0,161,2010,22,0,0,0.0,1.16,37,49,16,51.6,6.6,11.5,0.0,1.5714285714285714,0.0,0.0003160270880361174,0.3972911963882618,0.006965174129353234,TX-3133,2010-07-25,2023-01-22,No major replacements,MNT-83968,Preventive Maintenance,2023-06-10,378.62710293426517,84.34599494569045,3.163590571316738,98.03329678555849,47.02575971810561,None,None,No incidents,OP-9172,33.16708665232216,Normal Load,Performance stable with a load of 378.62710293426517 KW and temperature 84.34599494569045°C
14,2750,29500,12,54,5190,0,0,0,5.0,0.19,43,55,3,51.6,15.2,3.857142857142857,0.8571428571428571,0.0,0.0,0.0004745762711864407,0.09322033898305085,0.002697495183044316,TX-5774,2003-01-18,2022-01-04,No major replacements,MNT-96577,Preventive Maintenance,2023-11-21,996.2600676983702,50.614226454301644,6.722756737803108,70.33614953497442,1.1697994382664778,None,None,No incidents,OP-2225,33.16708665232216,Normal Load,Performance stable with a load of 996.2600676983702 KW and temperature 50.614226454301644°C
40,2350,65000,8,538,2480,9,0,1,0.0,1.0,35,56,62,51.5,29.1,13.45,0.2,0.225,0.025,0.0006153846153846154,0.036153846153846154,0.016129032258064516,TX-2390,2003-07-24,2023-01-10,No major replacements,MNT-59463,Preventive Maintenance,2023-01-14,920.7516648840915,82.18155672894663,9.610779027343956,45.87731069790551,25.578190423280923,None,None,No incidents,OP-5343,33.14729211336474,Normal Load,Performance stable with a load of 920.7516648840915 KW and temperature 82.18155672894663°C
5,9400,37100,4,496,2720,3,0,1,0.0,1.0,35,56,51,51.5,29.1,99.2,0.8,0.6,0.2,0.00013477088948787063,0.25336927223719674,0.001838235294117647,TX-1489,2011-06-21,2021-09-08,No major replacements,MNT-10324,Preventive Maintenance,2021-11-19,1202.3567884386819,87.44711810238329,9.099081606360663,44.19892035737269,47.84190668165393,None,None,No incidents,OP-6567,33.14729211336474,Normal Load,Performance stable with a load of 1202.3567884386819 KW and temperature 87.44711810238329°C
7,12300,32200,0,302,3640,3,0,1,0.0,1.0,35,55,36,51.5,29.1,43.142857142857146,0.0,0.42857142857142855,0.14285714285714285,0.0002173913043478261,0.38198757763975155,0.0019230769230769232,TX-7332,2013-06-24,2021-12-14,No major replacements,MNT-46337,Preventive Maintenance,2022-10-30,1296.5475932696095,21.745377784689246,5.446531984168011,57.5505060912534,41.811099392729915,None,Storm,Severe weather affecting transformer,OP-7228,33.14729211336474,Normal Load,Performance stable with a load of 1296.5475932696095 KW and temperature 21.745377784689246°C
2390,9050,44300,163,546,2660,3,53,0,0.0,1.71,46,54,12,50.7,6.5,0.22845188284518828,0.06820083682008368,0.0012552301255230125,0.0,0.05395033860045147,0.20428893905191872,0.8984962406015038,TX-9371,2004-02-29,2023-03-30,No major replacements,MNT-95494,Preventive Maintenance,2023-05-27,674.1184937312878,42.373522099393924,6.512644200634817,75.15067430758752,16.63187642082248,None,Flood,Flood occurred causing minor damage,OP-8393,32.987538061604,Normal Load,Performance stable with a load of 674.1184937312878 KW and temperature 42.373522099393924°C
12880,1571,36351,827,184,2267,4,320,0,1.0,1.0,46,54,12,50.7,29.8,0.014285714285714285,0.0642080745341615,0.00031055900621118014,0.0,0.35432312728673215,0.04321751808753542,5.681517423908248,TX-2574,2005-07-28,2023-01-16,Replaced major components,MNT-76775,Emergency Maintenance,2023-02-27,1959.7617962627892,42.07189988800077,4.832349781725295,43.48002692555406,39.97219256345915,None,Storm,Severe weather affecting transformer,OP-1040,32.987538061604,High Load,Performance stable with a load of 1959.7617962627892 KW and temperature 42.07189988800077°C
10700,13100,32700,625,79,660,0,190,1,1.0,4.45,42,44,4,50.7,16.4,0.007383177570093458,0.05841121495327103,0.0,9.345794392523364e-05,0.327217125382263,0.40061162079510704,16.21212121212121,TX-2121,2012-10-01,2020-10-28,Replaced major components,MNT-86413,Emergency Maintenance,2021-11-10,1433.0091664603594,79.89301677184488,2.9530042889788333,76.80757146182415,27.13353152503523,None,None,No incidents,OP-1692,32.987538061604,Normal Load,Performance stable with a load of 1433.0091664603594 KW and temperature 79.89301677184488°C
921,22000,43400,42,132,542,75,3,713,0.0,0.48,45,56,13,50.7,29.8,0.14332247557003258,0.04560260586319218,0.08143322475570032,0.7741585233441911,0.02122119815668203,0.5069124423963134,1.6992619926199262,TX-6171,2013-10-08,2022-05-12,No major replacements,MNT-52873,Preventive Maintenance,2023-05-12,1459.4066284038347,85.65851259238914,6.318278151667459,85.86369540579562,12.263505751609143,None,None,No incidents,OP-2320,32.987538061604,Normal Load,Performance stable with a load of 1459.4066284038347 KW and temperature 85.65851259238914°C
9350,229,53000,188,451,2720,228,28,0,0.0,71.75,30,55,5,50.7,29.8,0.04823529411764706,0.020106951871657754,0.024385026737967913,0.0,0.17641509433962263,0.004320754716981132,3.4375,TX-6957,2011-07-21,2020-09-02,No major replacements,MNT-20717,Preventive Maintenance,2021-10-30,1843.4236142100183,31.680912764946953,1.0667129210611082,75.53929869576793,48.97194216777917,None,None,No incidents,OP-2331,32.987538061604,High Load,Performance stable with a load of 1843.4236142100183 KW and temperature 31.680912764946953°C
6200,291,59400,218,492,10600,103,39,0,0.0,67.67,30,54,10,50.7,29.8,0.07935483870967742,0.03516129032258065,0.01661290322580645,0.0,0.10437710437710437,0.004898989898989899,0.5849056603773585,TX-1290,2006-11-07,2020-11-03,No major replacements,MNT-57831,Preventive Maintenance,2023-02-05,1235.4895468491582,45.43543344576899,4.286308144445984,38.99300906196545,4.133861205846379,None,None,No incidents,OP-6329,32.987538061604,Normal Load,Performance stable with a load of 1235.4895468491582 KW and temperature 45.43543344576899°C
3060,257,69500,190,403,8930,68,47,0,0.0,73.2,29,56,14,50.7,29.8,0.13169934640522876,0.06209150326797386,0.022222222222222223,0.0,0.04402877697841727,0.003697841726618705,0.3426651735722284,TX-3535,2001-11-26,2023-06-27,No major replacements,MNT-67525,Preventive Maintenance,2023-06-27,1760.1837691309966,80.70696747271475,9.832612218458648,88.48124930475102,18.971348168656665,None,None,No incidents,OP-1036,32.987538061604,High Load,Performance stable with a load of 1760.1837691309966 KW and temperature 80.70696747271475°C
7907,3564,24991,467,96,1765,2,249,0,0.0,1.0,29,56,14,50.7,29.8,0.012141140761350701,0.0590615909953206,0.0002529404325281396,0.0,0.31639390180464966,0.14261134008242968,4.479886685552408,TX-8732,2014-06-12,2023-06-18,Replaced major components,MNT-46560,Emergency Maintenance,2023-08-30,570.0025496152688,65.05960267518435,2.1347807256705966,65.98237711864861,10.236047264380261,None,None,No incidents,OP-9537,32.987538061604,Normal Load,Performance stable with a load of 570.0025496152688 KW and temperature 65.05960267518435°C
5030,7140,54300,179,38,260,0,21,0,0.0,1.9,29,49,15,50.7,29.8,0.0075546719681908545,0.03558648111332008,0.0,0.0,0.09263351749539595,0.13149171270718232,19.346153846153847,TX-1394,2001-08-28,2021-12-06,No major replacements,MNT-32676,Preventive Maintenance,2023-08-28,1889.0674428153545,53.432609260123385,9.443401644776426,95.38653075909708,8.432035681814481,None,Lightning Strike,Lightning Strike occurred causing minor damage,OP-6652,32.987538061604,High Load,Performance stable with a load of 1889.0674428153545 KW and temperature 53.432609260123385°C
322,669,56400,181,614,466,170,15,173,0.0,0.63,45,51,2,50.7,29.8,1.906832298136646,0.562111801242236,0.5279503105590062,0.5372670807453416,0.005709219858156029,0.011861702127659574,0.6909871244635193,TX-4167,2014-04-28,2021-08-03,No major replacements,MNT-41085,Preventive Maintenance,2022-11-08,1620.397126236872,59.965360875062984,3.116835297578061,80.02508320361595,40.129904193655754,None,None,No incidents,OP-3463,32.987538061604,High Load,Performance stable with a load of 1620.397126236872 KW and temperature 59.965360875062984°C
152,21400,49300,254,64,1510,2250,908,4830,0.0,1.0,43,51,5,50.7,29.8,0.42105263157894735,1.6710526315789473,14.802631578947368,31.776315789473685,0.00308316430020284,0.4340770791075051,0.10066225165562914,TX-5820,2004-01-24,2023-08-08,Replaced major components,MNT-79887,Emergency Maintenance,2023-08-23,698.3897050418602,47.695666383958574,2.3077415007236213,64.35755037794657,7.8020620913273,None,None,No incidents,OP-2013,32.987538061604,Normal Load,Performance stable with a load of 698.3897050418602 KW and temperature 47.695666383958574°C
211,249900,62600,148,118,2300,751,103,3030,0.0,1.0,45,41,9,50.6,29.8,0.5592417061611374,0.7014218009478673,3.559241706161137,14.360189573459715,0.0033706070287539934,3.9920127795527156,0.09173913043478261,TX-9874,2009-07-27,2023-05-11,No major replacements,MNT-77181,Preventive Maintenance,2023-06-20,1012.2348828685908,83.83359030335654,0.6545411016245806,69.08897395842489,28.291582283991502,None,Flood,Flood occurred causing minor damage,OP-5865,32.967391793198715,Normal Load,Performance stable with a load of 1012.2348828685908 KW and temperature 83.83359030335654°C
277,21500,46100,142,93,2090,802,59,3840,0.0,1.0,45,50,5,50.6,29.8,0.33574007220216606,0.5126353790613718,2.895306859205776,13.862815884476534,0.006008676789587853,0.46637744034707157,0.13253588516746412,TX-6966,2010-03-19,2023-01-10,No major replacements,MNT-40531,Preventive Maintenance,2023-12-31,1635.7960439487513,58.74232778452806,5.041264387382628,20.219016872354523,37.41219713706656,None,None,No incidents,OP-1217,32.967391793198715,High Load,Performance stable with a load of 1635.7960439487513 KW and temperature 58.74232778452806°C
253,17300,43700,135,82,1870,57,734,3330,0.0,1.0,44,50,4,50.6,29.9,0.3241106719367589,0.5335968379446641,0.22529644268774704,13.162055335968379,0.005789473684210527,0.39588100686498856,0.13529411764705881,TX-1796,2005-03-26,2022-07-24,No major replacements,MNT-43505,Preventive Maintenance,2023-09-15,314.0655413439369,89.5636942968735,6.667284735817295,38.87466599685291,43.36047554618572,None,Storm,Severe weather affecting transformer,OP-8581,32.967391793198715,Normal Load,Performance stable with a load of 314.0655413439369 KW and temperature 89.5636942968735°C
216,24300,48500,93,94,1890,578,36,2830,0.0,1.0,42,54,7,50.6,29.9,0.4351851851851852,0.4305555555555556,2.675925925925926,13.101851851851851,0.004453608247422681,0.5010309278350515,0.11428571428571428,TX-8389,2011-04-15,2023-04-15,No major replacements,MNT-12189,Preventive Maintenance,2023-07-09,338.1032169555603,20.767911438845967,2.943614888948247,29.384223098259426,13.32158751123847,None,Lightning Strike,Lightning Strike occurred causing minor damage,OP-5907,32.967391793198715,Normal Load,Performance stable with a load of 338.1032169555603 KW and temperature 20.767911438845967°C
135,5091,48792,33,568,1301,3,5,0,1.0,0.12,47,66,3,50.3,30.0,4.207407407407407,0.24444444444444444,0.022222222222222223,0.0,0.002766847024102312,0.1043408755533694,0.1037663335895465,TX-2710,2011-06-27,2022-10-23,No major replacements,MNT-99535,Preventive Maintenance,2022-12-20,780.7865699824501,42.88029613175219,3.0918865816817287,79.39975226352051,1.4603005348057474,None,None,No incidents,OP-8043,32.90671323005865,Normal Load,Performance stable with a load of 780.7865699824501 KW and temperature 42.88029613175219°C
0,219,56900,4,20,507,30,49,67,0.0,4.4,47,50,3,50.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0038488576449912126,0.0,TX-8547,2011-07-13,2022-04-08,No major replacements,MNT-85395,Preventive Maintenance,2022-05-01,317.5300596108288,83.74243974089983,0.4798375085523321,51.427583660966604,26.19147190105242,None,None,No incidents,OP-6924,32.84567168232858,Normal Load,Performance stable with a load of 317.5300596108288 KW and temperature 83.74243974089983°C
